#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
1,AC Milan,20,14,4,2,41,23,18,46,       
2,Inter Milan,20,13,5,2,49,23,26,44,       
3,Juventus,19,11,6,2,39,18,21,39,       
4,Roma,19,11,4,4,41,32,9,37,       
5,Lazio,20,11,4,5,35,27,8,37,       
6,Atalanta,20,10,6,4,45,26,19,36,       
7,Napoli,18,11,1,6,41,19,22,34,       
8,Sassuolo,20,8,7,5,33,30,3,31,       
9,Verona,19,8,6,5,25,18,7,30,       
10,Sampdoria,20,8,2,10,30,31,-1,26,       
11,Fiorentina,20,5,7,8,21,31,-10,22,       
12,Benevento,20,6,4,10,23,40,-17,22,       
13,Udinese,20,5,6,9,21,28,-7,21,       
14,Genoa,20,5,6,9,22,30,-8,21,       
15,Bologna,20,5,5,10,25,35,-10,20,       
16,Spezia,20,4,6,10,26,37,-11,18,       
17,Torino,20,2,9,9,29,38,-9,15,       
18,Cagliari,20,3,6,11,24,38,-14,15,       
19,Parma,19,2,7,10,14,36,-22,13,       
20,Crotone,20,3,3,14,22,46,-24,12,       
